fala	zdarzenie	czas	uwaga
1	OTWARTA	2026-09-02T20:49:06	
1	ZAMKNIETA	2026-09-02T21:24:39	
2	OTWARTA	2026-09-02T21:24:39	czas rzeczywisty dopisany recznie: --otwarto 2 pominiete przed startem fali
2	ZAMKNIETA	2026-09-02T22:02:53	
3	OTWARTA	2026-09-02T22:04:22	
3	ZAMKNIETA	2026-09-03T20:27:24	
4	OTWARTA	2026-09-03T20:27:55	
4	ZAMKNIETA	2026-09-03T20:51:22	
5	OTWARTA	2026-09-03T20:51:22	
5	ZAMKNIETA	2026-09-03T21:47:01	
6	OTWARTA	2026-09-03T21:47:28	
6	ZAMKNIETA	2026-09-03T22:15:26	
7	OTWARTA	2026-09-03T22:15:42	
7	ZAMKNIETA	2026-09-04T19:00:38	
8	OTWARTA	2026-09-04T19:04:26	
8	ZAMKNIETA	2026-09-04T19:43:36	
9	OTWARTA	2026-09-04T19:43:36	
9	ZAMKNIETA	2026-09-07T17:33:24	
10	ZAMKNIETA	2026-09-07T18:01:35	
11	OTWARTA	2026-09-07T18:01:49	
11	ZAMKNIETA	2026-09-07T18:17:29	
12	OTWARTA	2026-09-07T18:17:36	
12	ZAMKNIETA	2026-09-07T18:43:10	
13	OTWARTA	2026-09-07T18:43:20	
13	ZAMKNIETA	2026-09-07T19:18:29	
15	OTWARTA	2026-09-07T19:18:40	
15	ZAMKNIETA	2026-09-07T19:37:12	
16	OTWARTA	2026-09-07T19:37:12	
16	ZAMKNIETA	2026-09-07T22:06:13	
17	OTWARTA	2026-09-07T22:06:13	
17	ZAMKNIETA	2026-09-07T22:19:02	
